Date,Orders,UTR SKU,Basket SKU,%FR,%VFR,%Order Lost,%OL>5',%VL,DT,%Replacement Rate,Not Found Rate,%Item Not delivered,%Inaccuracy,%Close Time,%Seamless Orders,Rating,CVR3,EPT,%OOSFR,Basket ITEM,%Picking Late,%Order Late > 10,%Replacement Sent,total_orders,Picking Time,WOT,%Forced Pre Orders,%Pre Orders,%Partial Orders,Starting Time
20 jun 2026,273,19.385252978760143,6.402603077308994,0.0421052631578947,0.0035087719298245,0.18596491228070175,0.2014652014652014,0.2417582417582417,56.07851711026616,0.4761904761904761,0.0183387270765911,0.0213169778763469,0.0586080586080586,-,0.4385964912280701,4.6875,0.1804915514592933,31.887719298245614,0.0035087719298245,8.173603643816854,0.0329670329670329,0.1465201465201465,1.0,285,8.42026862026862,1.0,0.02564102564102564,0.040293040293040296,0.0140350877192982,6.452380952380953
19 jun 2026,223,18.142520864540977,6.216452991452992,0.0304347826086956,0.0043478260869565,0.05652173913043478,0.2959641255605381,0.1748878923766816,56.17400611620796,0.3225806451612903,0.0284900284900284,0.046453927962547,0.0269058295964125,-,0.4521739130434782,4.708333333333333,0.1834774255523535,24.60434782608696,0.0043478260869565,8.165648567119154,0.0538116591928251,0.1883408071748878,0.92,230,7.61763826606876,1.0,0,0.02242152466367713,0.017391304347826,2.478774289985052
18 jun 2026,186,17.63587618815501,6.568479271559767,0.0106382978723404,0.0,0.0425531914893617,0.1989247311827957,0.2956989247311828,44.99057971014493,0.6,0.0066555740432612,0.0078459936927834,0.021505376344086,-,0.6117021276595744,5,0.146455223880597,20.329787234042552,0.0,8.860589240480882,0.043010752688172,0.1129032258064516,1.0,188,7.178046594982078,1.0,0,0.010752688172043012,0.0159574468085106,3.0595878136200727
17 jun 2026,223,19.083371718102256,5.91558586637534,0.0044642857142857,0.0,0.022321428571428572,0.2825112107623318,0.4035874439461883,52.94961597542243,0.2,0.0116279069767441,0.0153282461913088,0.0403587443946188,-,0.59375,4.541666666666667,0.1702525724976613,23.40625,0.0,7.701771094402674,0.0717488789237668,0.210762331838565,1.0,224,8.226233183856502,1.0,0,0.026905829596412557,0.0178571428571428,5.321150971599403
16 jun 2026,223,20.72949705482555,7.322223334237424,0.0219298245614035,0.0,0.15350877192982457,0.1704035874439461,0.1928251121076233,45.70956790123456,0.4,0.0131926121372031,0.010807099587238,0.0403587443946188,-,0.631578947368421,4.142857142857143,0.1632996632996633,21.899122807017545,0.0,9.20237402634545,0.0313901345291479,0.0986547085201793,1.0,228,6.99424514200299,1.0,0.008968609865470852,0.03139013452914798,0.0087719298245614,4.039387144992526
15 jun 2026,236,18.65529010238908,7.221932740244899,0.0084033613445378,0.0,0.06722689075630252,0.1567796610169491,0.3177966101694915,49.43065217391304,0.4,0.0177975528364849,0.0171295999139562,0.0466101694915254,-,0.4957983193277311,4.354166666666667,0.1520423600605143,25.94117647058824,0.0,8.910532487174047,0.0338983050847457,0.1228813559322034,1.0,238,9.268997175141244,1.0,0,0.025423728813559324,0.0084033613445378,4.870974576271187
14 jun 2026,295,21.53408139340144,7.708861550433828,0.0166666666666666,0.0033333333333333,0.1,0.1254237288135593,0.2,54.34815455594002,0.3,0.0126641651031894,0.0112869090392693,0.0203389830508474,-,0.51,4.624242424242424,0.1963369963369963,33.843333333333334,0.0,9.305439479336522,0.0067796610169491,0.0779661016949152,1.0,300,7.47954802259887,1.0000000000000002,0.003389830508474576,0.020338983050847456,0.0033333333333333,6.641638418079095
13 jun 2026,311,21.511767737502144,6.186297801317705,0.0189274447949526,0.0031545741324921,0.022082018927444796,0.202572347266881,0.2893890675241157,53.24374325782093,0.3571428571428571,0.0101010101010101,0.0124612807280419,0.0385852090032154,-,0.4858044164037854,4.879166666666666,0.2038404726735598,31.608832807570977,0.0,7.858814624517852,0.0160771704180064,0.1221864951768488,1.0,317,7.759056806002143,1.0,0,0.006430868167202572,0.0126182965299684,9.276473740621649
12 jun 2026,233,19.88157894736842,6.007650976099252,0.0411522633744856,0.0,0.03292181069958848,0.167381974248927,0.2618025751072961,47.42929292929293,0.4444444444444444,0.006635700066357,0.0086889794413956,0.0300429184549356,-,0.5308641975308642,4.952380952380953,0.1709621993127147,25.03703703703704,0.0,7.647609925196131,0.0214592274678111,0.0901287553648068,1.0,243,7.427682403433476,1.0,0,0.012875536480686695,0.0164609053497942,5.962660944206009
11 jun 2026,198,23.15325248070562,6.65382909911603,0.0246305418719211,0.0,0.22167487684729065,0.1666666666666666,0.207070707070707,47.45274822695035,0.25,0.0107372942018611,0.0179469877737646,0.0454545454545454,-,0.5714285714285714,4.6875,0.1610555050045496,20.97536945812808,0.0,8.563239226189802,0.0808080808080808,0.106060606060606,1.0,203,7.752104377104376,1.0,0.025252525252525252,0.050505050505050504,0.0147783251231527,3.3725589225589223
